id_pessoa;abs_eventos;abs_qtd_total;horas_previstas_total;acidentes_eventos;acidentes_com_afastamento;acidentes_dias_perdidos;he_eventos;he_referencia_total;he_valor_total;hi_eventos;hi_minutos_irregulares;hi_minutos_extras;mov_sal_eventos;mov_sal_valor_total;mov_sal_perc_medio
344630;0.0;0.0;0.0;0.0;0.0;0.0;47.0;14452.9343;531303.7941;7.4865;442.7674;0.0;0.8301;98.2104;0.0299
58113;0.0;0.0;0.0;0.0;0.0;0.0;12.0;21084.9898;123027.443;0.0;0.0;0.0;0.0;71.7658;0.0
251795;0.0;0.0;0.0;0.0;0.0;0.0;43.0;8810.764;202330.6731;7.4865;1698.7237;0.0;2.4904;203.8673;0.0261
301610;0.0;0.0;0.0;0.0;0.0;0.0;7.0;6620.8696;1145516.9326;0.5759;128.9886;0.0;0.0;22.9964;0.0048
174899;0.0;0.0;0.0;0.0;0.0;0.0;102.0;0.0;2216.2;3.4553;55.8016;0.0;0.4151;6.9918;0.0079
368543;0.0;0.0;0.0;0.0;0.0;0.0;12.0;2354.5852;57842.5722;5.1829;828.8919;0.0;0.4151;23.3654;0.0149
177356;0.0;0.0;0.0;0.0;0.0;0.0;18.0;9909.1271;64862.5639;0.0;0.0;0.0;0.0;7.105;0.0056
14457;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2461.7162;698739.6998;0.0;157.5117;0.0;0.8301;30.005;0.0142
44678;0.0;0.0;0.0;0.0;0.0;0.0;7.0;21117.0725;446612.4302;0.5759;115.5289;0.0;1.2452;50.6578;0.0161
343943;0.0;0.0;0.0;0.0;0.0;0.0;10.0;329.0289;8499.2072;1.1518;356.4139;0.0;0.0;0.0;0.0
3762;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13401.1934;1567979.2255;0.0;0.0;0.0;0.0;0.0;0.0
81049;0.0;0.0;0.0;0.0;0.0;0.0;7.0;8722.1006;733301.2395;1.1518;292.4676;0.0;0.8301;35.7527;0.0173
209467;0.0;0.0;0.0;0.0;0.0;0.0;88.0;837.7222;216740.8578;0.0;609.9262;0.0;0.0;0.0;0.0
75411;0.0;0.0;0.0;0.0;0.0;0.0;31.0;3338.0662;81131.3782;4.6071;900.1161;0.0;3.7355;235.8024;0.0202
265363;0.0;0.0;0.0;0.0;0.0;0.0;10.0;726.568;14333.6361;1.1518;84.4034;0.0;0.8301;62.0695;0.0263
167987;0.0;0.0;0.0;0.0;0.0;0.0;7.0;27575.8213;1159524.434;0.0;22.0093;0.0;0.4151;36.2782;0.0898
156922;0.0;0.0;0.0;1.0633;0.0;0.0;16.0;3440.8314;125869.3624;30.5217;5929.5497;0.0;3.3205;341.7927;0.0313
243172;0.0;0.0;0.0;0.0;0.0;0.0;49.0;37686.4525;0.0;0.0;270.6302;0.0;0.0;0.0;0.0073
352898;0.0;0.0;0.0;1.0633;0.0;0.0;74.0;4055.1806;220472.0579;0.0;593.6572;0.0;0.0;88.2229;0.0048
213822;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
161350;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4896.7766;1531483.3165;5.1829;0.0;0.0;0.0;53.9272;0.0
266119;0.0;0.0;0.0;0.0;0.0;0.0;24.0;5097.695;126454.6985;5.1829;1250.0678;0.0;0.4151;45.0135;0.0404
193603;0.0;0.0;0.0;0.0;0.0;0.0;29.0;0.0;0.0;9.2141;20.1202;0.0;0.0;0.0;0.0051
175817;0.0;0.0;0.0;1.0633;0.0;0.0;12.0;45690.6948;2053851.104;0.0;186.5465;0.0;1.2452;34.5864;0.0101
131122;0.0;0.0;0.0;0.0;0.0;0.0;25.0;68995.9414;714551.3856;0.0;54.907;0.0;0.0;69.9019;0.0082
107523;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;0.0;0.5759;155.6275;0.0;0.4151;30.3042;0.033
